platform,url,current_name,current_address,current_phone,current_website,current_category,desired_name,desired_address,desired_phone,desired_website,issue,source_checked_date,confidence,login_owner,action,submitted_date,verified_date,status,notes
Hair Pinns website,https://hairpinns.com/,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Hair salon,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,None,2026-07-26,high,owner-controlled,Maintain canonical source,,,,verified-canonical,"NAP confirmed from repository entity registry and rendered site"
Yellow Pages,https://www.yellowpages.com.au/illawong-nsw/bpp/hair-pinns-580653434,Hair Pinns,"14 Burley Close, Illawong NSW 2234",0416 037 663,,Hairdressers,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Stale former address,2026-07-26,high,unknown,Claim or edit once through Sensis after owner approval,,,,verified-conflict,"Sensis listing ID 580653434; likely shared backend with TrueLocal and Whereis"
TrueLocal,https://www.truelocal.com.au/illawong-nsw/tlp/hair-pinns-580653434,Hair Pinns,"14 Burley Close, Illawong NSW 2234",0416 037 663,,Hairdressers,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Stale former address,2026-07-26,high,unknown,Correct through Sensis after owner approval,,,,verified-conflict,"Direct listing extraction; Sensis listing ID 580653434"
Whereis,https://www.whereis.com/illawong-nsw/wip/hair-pinns-580653434,Hair Pinns,"14 Burley Close, Illawong NSW 2234",0416 037 663,,Hairdressers,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Stale former address,2026-07-26,high,unknown,Correct through Sensis after owner approval,,,,verified-conflict,"Direct listing extraction; Sensis listing ID 580653434"
ShowMeLocal,https://au.showmelocal.com/39196610-hair-pinns-bangor,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0468 020 624,https://hairpinns.com/,"Hairdresser; Hair Salon",Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Wrong phone and unverified unusual hours,2026-07-26,high,unknown,Claim or request phone and hours correction after owner approval,,,,verified-conflict,"Wrong phone also appears on Acompio"
Acompio,https://australia.acompio.com/Hair-Pinns-47499323.html,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0468 020 624,,Hair salon,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Wrong phone,2026-07-26,high,unknown,Claim listing and correct phone after owner approval,,,,verified-conflict,"Live listing showed wrong phone; listed as updated 2025-10-14"
Fresha,https://www.fresha.com/a/hair-pinns-bangor-studio-bangor-60-goorgool-road-eb7ff3lb,Hair Pinns- Bangor Studio,"60 Goorgool Road, Bangor NSW 2234",,,Hair salon,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Display-name variant only,2026-07-26,high,owner-controlled,Review name standardisation only if platform policy and branding allow,,,,verified-aligned,"Address and booking destination aligned; no NAP conflict established"
Yelp,https://www.yelp.com/biz/hair-pinns-bangor,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",,,Hair salon,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,No conflict detected,2026-07-26,high,unknown,No action,,,,verified-aligned,"Address verified; phone not exposed on source page"
MapQuest,https://www.mapquest.com/au/new-south-wales/hair-pinns-794156502,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",,,Hair salon,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Phone not verifiable from source page,2026-07-26,medium,unknown,Recheck before any action,,,,verified-limited,"Address confirmed from public search result; direct page error prevented full verification"
Beautihost,https://nsw.beautihost.com/search/?q=hair+pinns+nsw,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,,Hair salon,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,No conflict detected,2026-07-26,high,unknown,No action,,,,verified-aligned,"Address and phone aligned"
Instagram,https://www.instagram.com/hair.pinns/,Hair Pinn's Boutique Salon,"60 Goorgool Road, Bangor NSW 2234",,,Hair salon,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Display-name variant only,2026-07-26,high,owner-controlled,Confirm canonical website in bio; standardise name only if desired,,,,verified-aligned,"Public profile address aligned; no phone shown"
Sustainable Salons,https://sustainablesalons.org/salon-directory/hair-pinns-pty-ltd/,Hair Pinns Pty Ltd,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/super-inquiry/,Hair,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,Retired inquiry-route CTA while NAP is aligned,2026-07-26,high,unknown,Replace retired CTA with current booking or canonical website after owner approval,,,,verified-conflict,"NAP and social profiles otherwise current on direct extraction"
Island Vibes supplier stockist,https://www.facebook.com/islandvibesau/posts/stockist-spotlightnsw-bangor-hair-pinns-boutique-salon-home-studio-specialising-/1772556638204364/,Hair Pinns Boutique Salon,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,,Supplier stockist,Hair Pinns,"60 Goorgool Road, Bangor NSW 2234",0416 037 663,https://hairpinns.com/,No NAP conflict; alternate email appears in supplier post,2026-07-26,high,third-party,No action unless email consolidation is desired,,,,verified-aligned,"Supplier post is corroborating evidence rather than a primary directory"
